code,locale,name,descr
400,ar,name-29703958,descr-29703958
400,ms,name-29703959,descr-29703959
401,fi,name-7049222,descr-7049222
401,nl,name-7049223,descr-7049223
402,ja,name-6444457,descr-6444457
402,de,name-6444458,descr-6444458
403,ru,name-26850883,descr-26850883
403,fi,name-26850884,descr-26850884
404,cs,name-4540617,descr-4540617
404,it,name-4540618,descr-4540618
405,pt,name-7283241,descr-7283241
405,ar,name-7283242,descr-7283242
406,pt,name-2920385,descr-2920385
406,it,name-2920386,descr-2920386
407,en,name-6125741,descr-6125741
407,cs,name-6125742,descr-6125742
408,hu,name-28446789,descr-28446789
408,ro,name-28446790,descr-28446790
409,ja,name-23654267,descr-23654267
409,es,name-23654268,descr-23654268
